order_id,customer_id,product_id,quantity,unit_price,payment_mode,order_date
OFF00001,779,63,4,499,Credit Card,2026-01-21
OFF00002,350,11,1,1499,Credit Card,2026-01-26
OFF00003,950,290,2,499,Net Banking,2026-01-07
OFF00004,893,111,2,1499,Credit Card,2026-01-26
OFF00005,234,2,3,999,Net Banking,2026-01-09
OFF00006,988,90,1,9999,UPI,2026-01-05
OFF00007,703,8,3,999,Debit Card,2026-01-01
OFF00008,230,90,3,499,Wallet,2026-01-14
OFF00009,166,270,1,9999,Cash,2026-01-15
OFF00010,616,186,1,2499,Credit Card,2026-01-20
OFF00011,759,23,3,2499,UPI,2026-01-02
OFF00012,803,246,4,2499,UPI,2026-01-16
OFF00013,430,228,1,499,Net Banking,2026-01-05
OFF00014,740,34,2,1499,Wallet,2026-01-19
OFF00015,712,281,3,2499,Net Banking,2026-01-10
OFF00016,913,233,4,499,Wallet,2026-01-04
OFF00017,563,283,2,2499,Credit Card,2026-01-14
OFF00018,526,174,4,2499,Wallet,2026-01-04
OFF00019,782,161,4,1499,Debit Card,2026-01-12
OFF00020,194,79,4,499,UPI,2026-01-03
OFF00021,857,222,1,9999,Debit Card,2026-01-26
OFF00022,1080,67,1,4999,Net Banking,2026-01-18
OFF00023,463,169,1,2499,Wallet,2026-01-25
OFF00024,715,217,1,1499,Debit Card,2026-01-12
OFF00025,773,54,2,999,Cash,2026-01-08
OFF00026,477,56,3,4999,UPI,2026-01-25
OFF00027,966,143,2,2499,Net Banking,2026-01-25
OFF00028,1052,286,1,4999,Wallet,2026-01-27
OFF00029,380,137,1,999,Wallet,2026-01-25
OFF00030,107,159,3,1499,Credit Card,2026-01-28
OFF00031,246,74,4,499,Wallet,2026-01-21
OFF00032,644,16,1,9999,Credit Card,2026-01-13
OFF00033,262,215,4,1499,Debit Card,2026-01-10
OFF00034,260,167,1,499,Credit Card,2026-01-25
OFF00035,554,26,1,1499,Wallet,2026-01-14
OFF00036,380,249,4,2499,Credit Card,2026-01-25
OFF00037,541,263,1,1499,UPI,2026-01-10
OFF00038,326,250,3,499,Cash,2026-01-20
OFF00039,409,29,1,999,Credit Card,2026-01-25
OFF00040,436,71,3,1499,UPI,2026-01-01
OFF00041,233,255,4,999,Cash,2026-01-18
OFF00042,507,118,3,499,Wallet,2026-01-02
OFF00043,1044,224,1,2499,UPI,2026-01-28
OFF00044,515,161,4,4999,Wallet,2026-01-21
OFF00045,515,214,3,499,UPI,2026-01-11
OFF00046,1042,88,4,9999,Debit Card,2026-01-03
OFF00047,547,224,1,999,Net Banking,2026-01-13
OFF00048,992,269,1,2499,Debit Card,2026-01-24
OFF00049,898,174,2,1499,Credit Card,2026-01-03
OFF00050,623,262,1,4999,Credit Card,2026-01-29
OFF00051,1082,179,3,9999,Wallet,2026-01-27
OFF00052,250,76,2,499,Debit Card,2026-01-07
OFF00053,178,89,2,9999,Credit Card,2026-01-25
OFF00054,879,253,4,4999,Net Banking,2026-01-15
OFF00055,424,290,3,9999,Credit Card,2026-01-15
OFF00056,747,35,4,2499,Debit Card,2026-01-26
OFF00057,620,141,1,1499,UPI,2026-01-10
OFF00058,159,237,4,499,Debit Card,2026-01-27
OFF00059,985,147,1,9999,UPI,2026-01-20
OFF00060,695,260,4,2499,Net Banking,2026-01-26
OFF00061,768,22,4,4999,Credit Card,2026-01-11
OFF00062,562,244,2,499,UPI,2026-01-26
OFF00063,762,176,1,4999,Credit Card,2026-01-02
OFF00064,637,127,4,2499,Net Banking,2026-01-20
OFF00065,1040,82,3,1499,Debit Card,2026-01-13
OFF00066,713,210,3,9999,UPI,2026-01-26
OFF00067,197,172,1,1499,Net Banking,2026-01-22
OFF00068,842,198,3,1499,Wallet,2026-01-30
OFF00069,697,77,3,499,Wallet,2026-01-05
OFF00070,816,180,3,9999,Wallet,2026-01-13
OFF00071,673,67,1,1499,Cash,2026-01-21
OFF00072,820,169,2,9999,Wallet,2026-01-22
OFF00073,787,270,1,9999,Cash,2026-01-17
OFF00074,417,186,1,1499,Credit Card,2026-01-07
OFF00075,332,175,4,999,Credit Card,2026-01-05
OFF00076,620,40,3,499,Net Banking,2026-01-27
OFF00077,445,270,1,9999,Net Banking,2026-01-05
OFF00078,286,193,2,999,Wallet,2026-01-25
OFF00079,521,85,4,499,Debit Card,2026-01-22
OFF00080,392,122,4,4999,Wallet,2026-01-26
OFF00081,345,230,2,4999,Debit Card,2026-01-26
OFF00082,795,241,2,1499,Net Banking,2026-01-15
OFF00083,615,237,3,2499,Net Banking,2026-01-14
OFF00084,242,83,2,4999,Debit Card,2026-01-02
OFF00085,1057,247,3,4999,UPI,2026-01-23
OFF00086,186,265,1,1499,Credit Card,2026-01-09
OFF00087,194,231,2,2499,Credit Card,2026-01-27
OFF00088,525,231,3,499,UPI,2026-01-13
OFF00089,496,258,3,999,UPI,2026-01-12
OFF00090,1054,115,1,1499,UPI,2026-01-27
OFF00091,140,172,2,999,Debit Card,2026-01-30
OFF00092,581,242,2,9999,Cash,2026-01-20
OFF00093,363,3,1,499,Credit Card,2026-01-27
OFF00094,895,77,4,499,Debit Card,2026-01-08
OFF00095,345,155,1,499,Cash,2026-01-21
OFF00096,957,235,1,499,Cash,2026-01-20
OFF00097,628,275,1,9999,Net Banking,2026-01-08
OFF00098,102,74,3,2499,Net Banking,2026-01-12
OFF00099,781,124,4,999,Wallet,2026-01-03
OFF00100,1077,269,3,499,Net Banking,2026-01-18
OFF00101,995,260,1,2499,Cash,2026-01-02
OFF00102,866,199,3,1499,UPI,2026-01-12
OFF00103,851,35,3,999,Wallet,2026-01-21
OFF00104,146,54,3,999,Debit Card,2026-01-18
OFF00105,576,174,2,9999,Wallet,2026-01-16
OFF00106,834,94,2,499,Cash,2026-01-02
OFF00107,911,151,2,499,Credit Card,2026-01-29
OFF00108,628,22,3,1499,Cash,2026-01-27
OFF00109,138,279,4,1499,Wallet,2026-01-07
OFF00110,987,147,3,499,Wallet,2026-01-11
OFF00111,548,140,1,1499,Cash,2026-01-24
OFF00112,1098,226,4,1499,Credit Card,2026-01-16
OFF00113,374,255,3,4999,UPI,2026-01-24
OFF00114,717,218,1,2499,Credit Card,2026-01-18
OFF00115,182,151,3,499,Debit Card,2026-01-22
OFF00116,718,152,3,2499,Wallet,2026-01-14
OFF00117,558,86,4,1499,UPI,2026-01-24
OFF00118,755,181,4,1499,UPI,2026-01-03
OFF00119,921,208,3,4999,Wallet,2026-01-22
OFF00120,970,82,1,999,Net Banking,2026-01-22
OFF00121,169,225,1,999,Credit Card,2026-01-25
OFF00122,1073,188,3,2499,Net Banking,2026-01-02
OFF00123,481,79,4,1499,Cash,2026-01-25
OFF00124,476,40,2,4999,Cash,2026-01-11
OFF00125,127,143,2,499,Wallet,2026-01-06
OFF00126,221,256,4,4999,Debit Card,2026-01-25
OFF00127,727,134,4,999,Debit Card,2026-01-23
OFF00128,239,252,2,499,UPI,2026-01-15
OFF00129,930,89,4,499,Wallet,2026-01-28
OFF00130,167,164,3,9999,Net Banking,2026-01-18
OFF00131,829,149,3,999,Wallet,2026-01-30
OFF00132,330,90,3,4999,UPI,2026-01-07
OFF00133,127,72,2,2499,Debit Card,2026-01-18
OFF00134,923,294,3,2499,Net Banking,2026-01-05
OFF00135,508,45,1,1499,Wallet,2026-01-24
OFF00136,944,246,4,2499,Net Banking,2026-01-03
OFF00137,176,65,3,9999,Cash,2026-01-15
OFF00138,1000,265,3,999,Net Banking,2026-01-21
OFF00139,615,94,2,2499,UPI,2026-01-27
OFF00140,269,64,2,1499,Credit Card,2026-01-11
OFF00141,1017,116,3,4999,Debit Card,2026-01-28
OFF00142,751,41,3,999,Net Banking,2026-01-09
OFF00143,647,65,3,4999,UPI,2026-01-17
OFF00144,775,87,2,999,Net Banking,2026-01-24
OFF00145,184,173,1,499,UPI,2026-01-21
OFF00146,316,296,3,9999,Net Banking,2026-01-14
OFF00147,659,16,4,9999,Debit Card,2026-01-21
OFF00148,925,155,4,999,Wallet,2026-01-13
OFF00149,806,153,4,499,UPI,2026-01-06
OFF00150,576,226,4,2499,Credit Card,2026-01-11
OFF00151,427,74,3,9999,Wallet,2026-01-28
OFF00152,879,177,4,999,Debit Card,2026-01-17
OFF00153,348,288,1,1499,Cash,2026-01-04
OFF00154,245,137,4,999,UPI,2026-01-02
OFF00155,529,149,4,4999,Credit Card,2026-01-28
OFF00156,839,82,3,4999,Debit Card,2026-01-07
OFF00157,579,82,4,4999,Cash,2026-01-29
OFF00158,193,158,4,499,Cash,2026-01-17
OFF00159,698,235,2,999,Debit Card,2026-01-02
OFF00160,712,26,3,2499,Wallet,2026-01-22
OFF00161,109,241,3,4999,UPI,2026-01-14
OFF00162,475,69,3,9999,Cash,2026-01-12
OFF00163,684,24,4,499,Net Banking,2026-01-07
OFF00164,496,186,3,499,Net Banking,2026-01-15
OFF00165,797,282,3,4999,Net Banking,2026-01-04
OFF00166,483,66,1,2499,Debit Card,2026-01-18
OFF00167,717,188,2,999,Net Banking,2026-01-13
OFF00168,140,257,1,499,Credit Card,2026-01-23
OFF00169,568,171,4,4999,Credit Card,2026-01-20
OFF00170,1054,264,2,1499,Net Banking,2026-01-11
OFF00171,858,84,4,4999,Debit Card,2026-01-19
OFF00172,677,173,4,9999,Debit Card,2026-01-16
OFF00173,790,9,3,1499,UPI,2026-01-14
OFF00174,994,299,3,9999,Wallet,2026-01-21
OFF00175,1091,14,4,1499,Wallet,2026-01-26
OFF00176,153,297,2,9999,Net Banking,2026-01-16
OFF00177,942,88,4,999,Wallet,2026-01-08
OFF00178,120,17,1,999,Cash,2026-01-11
OFF00179,808,215,2,2499,Credit Card,2026-01-14
OFF00180,845,257,4,9999,UPI,2026-01-23
OFF00181,433,71,2,4999,Wallet,2026-01-16
OFF00182,1080,270,4,1499,Credit Card,2026-01-15
OFF00183,463,273,3,4999,Wallet,2026-01-25
OFF00184,1081,136,4,999,Credit Card,2026-01-09
OFF00185,1065,286,3,999,Debit Card,2026-01-25
OFF00186,822,148,2,9999,Cash,2026-01-11
OFF00187,1057,246,3,4999,Wallet,2026-01-09
OFF00188,793,148,1,4999,Net Banking,2026-01-13
OFF00189,398,203,3,999,UPI,2026-01-10
OFF00190,772,41,3,2499,Debit Card,2026-01-24
OFF00191,948,246,2,999,Net Banking,2026-01-09
OFF00192,212,288,3,999,Net Banking,2026-01-24
OFF00193,786,123,2,499,Net Banking,2026-01-08
OFF00194,524,120,1,499,Debit Card,2026-01-23
OFF00195,890,242,1,9999,Credit Card,2026-01-01
OFF00196,769,282,2,2499,Cash,2026-01-16
OFF00197,393,103,3,1499,Wallet,2026-01-02
OFF00198,857,46,2,4999,Wallet,2026-01-28
OFF00199,1004,20,2,2499,Credit Card,2026-01-30
OFF00200,291,19,4,2499,Wallet,2026-01-28
OFF00201,406,149,1,499,Net Banking,2026-01-20
OFF00202,566,55,3,1499,Wallet,2026-01-18
OFF00203,972,269,4,999,Net Banking,2026-01-15
OFF00204,439,140,2,499,Credit Card,2026-01-24
OFF00205,291,235,3,9999,UPI,2026-01-24
OFF00206,791,173,3,4999,Credit Card,2026-01-06
OFF00207,436,208,4,4999,UPI,2026-01-13
OFF00208,589,49,2,999,Debit Card,2026-01-30
OFF00209,493,128,1,1499,Credit Card,2026-01-15
OFF00210,697,137,3,1499,Wallet,2026-01-19
OFF00211,469,6,3,9999,Wallet,2026-01-08
OFF00212,415,32,1,2499,Credit Card,2026-01-13
OFF00213,221,258,3,9999,Wallet,2026-01-30
OFF00214,327,152,3,4999,Credit Card,2026-01-05
OFF00215,866,245,2,2499,Net Banking,2026-01-12
